id;account_id;account_name;account_number;school_id;is_active;delflg
1;BEAC invoice hacking;Savings Account;one-to-one monitoring;open-source;false;false
2;Strategist;Checking Account;Market;Belize;false;true
3;Tunnel Ngultrum Hat;Checking Account;input;Outdoors;true;true
4;Coordinator Massachusetts;Auto Loan Account;Serbia Swedish;Auto;true;false
5;Phased Unions;Investment Account;HTTP SQL;Shoes;false;false
6;Loan;Auto Loan Account;Franc Card;impactful Zimbabwe Synchronised;false;false
7;override Account synergies;Credit Card Account;Brook;Meadows mission-critical;true;true
8;clear-thinking implementation;Credit Card Account;bluetooth matrix;Steel North;false;false
9;parse;Investment Account;Refined Salad demand-driven;generate;true;false
10;copy;Investment Account;throughput black firewall;Keyboard Books;false;true
